Gnocchi with mushrooms & blue cheese,"Soft, creamy goat's cheese or a deliciously strong blue cheese both work well in this easy veggie supper that's on the table in just 20 minutes",4.1,false,20 mins
Classic cheese scones,Indulge in some cheese scones for afternoon tea or as part of a picnic. They're also great served alongside soups and you can freeze them for later use,4.8,false,35 mins
Strawberry pavlova,"When you find a punnet of perfectly ripe strawberries, showcase them in this irresistible summer pavlova",4.8,false,1 h 25 mins
Chocolate orange brownies,You know these squidgy chocolate cake squares with orange zest are going to be good!,4.9,false,1 h 5 mins
Strawberry cheesecakes,"Spend more time entertaining and less time in the kitchen with this speedy, low-fat recipe – ideal if you want a lighter option at the end of your dinner party",4.75,true,10 mins
Turkey salad with grapes & walnuts,"Serve this turkey, grape and walnut salad for lunch. It provides protein, carbs and beneficial fats, and makes enough to serve two people over two days",4.65,true,42 mins
